Latitude,Longitude,Time,Speed,ID
59.349458803,18.058342352,2019-11-08 18:03:51.966261,0.123,000000005e0fc628
59.349463379,18.058342352,2019-11-08 18:03:52.973932,0.172,000000005e0fc628
59.349463379,18.058342352,2019-11-08 18:03:53.981335,0.0,000000005e0fc628
59.349463379,18.058342352,2019-11-08 18:03:54.985847,0.0,000000005e0fc628
59.349460986,18.058359063,2019-11-08 18:03:55.993064,0.215,000000005e0fc628
59.349460986,18.058359063,2019-11-08 18:03:57.001108,0.123,000000005e0fc628
59.349460986,18.058359063,2019-11-08 18:03:58.008453,0.123,000000005e0fc628
59.349463168,18.058375775,2019-11-08 18:03:59.015638,0.247,000000005e0fc628
59.349453432,18.058387037,2019-11-08 18:04:00.022806,0.306,000000005e0fc628
59.349453432,18.058387037,2019-11-08 18:04:01.030258,0.306,000000005e0fc628
59.349443696,18.0583983,2019-11-08 18:04:02.037912,0.515,000000005e0fc628
59.349443696,18.0583983,2019-11-08 18:04:03.053536,0.304,000000005e0fc628
59.349443696,18.0583983,2019-11-08 18:04:04.058949,0.304,000000005e0fc628
59.34943396,18.058409563,2019-11-08 18:04:05.063731,0.306,000000005e0fc628
59.349431566,18.058426274,2019-11-08 18:04:06.069203,0.371,000000005e0fc628
59.349431566,18.058426274,2019-11-08 18:04:07.077174,0.304,000000005e0fc628
59.349424224,18.058420825,2019-11-08 18:04:08.084984,0.123,000000005e0fc628
59.349424224,18.058420825,2019-11-08 18:04:09.092939,0.247,000000005e0fc628
59.349428801,18.058420825,2019-11-08 18:04:10.105231,0.306,000000005e0fc628
59.349426407,18.058437537,2019-11-08 18:04:11.118990,0.17,000000005e0fc628
59.349426407,18.058437537,2019-11-08 18:04:12.127848,0.247,000000005e0fc628
59.349424013,18.058454248,2019-11-08 18:04:13.136386,0.371,000000005e0fc628
59.349416671,18.058448799,2019-11-08 18:04:14.142152,0.271,000000005e0fc628
59.349416671,18.058448799,2019-11-08 18:04:15.153597,0.215,000000005e0fc628
59.349414277,18.058465511,2019-11-08 18:04:16.160841,0.304,000000005e0fc628
59.349414277,18.058465511,2019-11-08 18:04:17.168279,0.215,000000005e0fc628
59.349411511,18.058460062,2019-11-08 18:04:18.175743,0.215,000000005e0fc628
59.349409117,18.058476773,2019-11-08 18:04:19.183970,0.247,000000005e0fc628
59.349409117,18.058476773,2019-11-08 18:04:20.191378,0.261,000000005e0fc628
59.349409117,18.058476773,2019-11-08 18:04:21.198853,0.172,000000005e0fc628
59.349413693,18.058476773,2019-11-08 18:04:22.205971,0.0,000000005e0fc628
59.349406351,18.058471325,2019-11-08 18:04:23.213355,0.0,000000005e0fc628
59.349406351,18.058471325,2019-11-08 18:04:24.220918,0.0,000000005e0fc628
59.349406351,18.058471325,2019-11-08 18:04:25.228220,0.0,000000005e0fc628
59.349410928,18.058471325,2019-11-08 18:04:26.236060,0.0,000000005e0fc628
59.349410928,18.058471325,2019-11-08 18:04:27.243889,0.0,000000005e0fc628
59.349410928,18.058471325,2019-11-08 18:04:28.251299,0.0,000000005e0fc628
59.349410928,18.058471325,2019-11-08 18:04:29.258672,0.0,000000005e0fc628
59.349410928,18.058471325,2019-11-08 18:04:30.265866,0.0,000000005e0fc628
59.349410928,18.058471325,2019-11-08 18:04:31.273167,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:32.285989,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:33.293645,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:34.301784,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:35.309478,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:36.316798,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:37.324220,0.0,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:38.331843,0.172,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:39.339798,0.172,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:40.347146,0.17,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:41.354445,0.172,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:42.362026,0.172,000000005e0fc628
59.349415504,18.058471325,2019-11-08 18:04:43.369490,0.109,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:44.376700,0.271,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:45.383881,0.271,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:46.391374,0.17,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:47.395936,0.109,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:48.403960,0.109,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:49.411675,0.0,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:50.419361,0.123,000000005e0fc628
59.34941311,18.058488036,2019-11-08 18:04:51.426626,0.123,000000005e0fc628
59.349405768,18.058482587,2019-11-08 18:04:52.433983,0.123,000000005e0fc628
59.349405768,18.058482587,2019-11-08 18:04:53.441337,0.306,000000005e0fc628
59.349405768,18.058482587,2019-11-08 18:04:54.449214,0.306,000000005e0fc628
59.349405768,18.058482587,2019-11-08 18:04:55.456610,0.123,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:04:56.464005,0.172,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:04:57.471681,0.172,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:04:58.479415,0.123,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:04:59.486804,0.0,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:05:00.493916,0.0,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:05:01.502142,0.109,000000005e0fc628
59.349408162,18.058465876,2019-11-08 18:05:02.509710,0.17,000000005e0fc628
